Instance Class,ID,Learn_OF (1),Learn_Nodes (2),Learn_CPU (3）,Static_OF (4),Static_Nodes (5),Static_CPU (6),Gap_OF% (1-4),Gap_Nodes% (2-5),Gap_CPU% (3-6)
0.2_GKD_50,11,137.30,8,0.23,136.30,8,0.56,0.73,0.00,-59.50
,12,170.40,8,0.19,163.00,10,0.26,4.54,-20.00,-29.11
,13,85.80,9,0.17,78.40,11,0.24,9.44,-18.18,-28.58
,14,80.10,10,0.16,80.10,9,0.19,0.00,11.11,-12.06
,15,147.70,8,0.19,146.10,8,0.23,1.10,0.00,-16.05
,16,69.80,9,0.11,58.10,11,0.16,20.14,-18.18,-28.74
,17,30.10,11,0.10,21.90,11,0.11,37.44,0.00,-3.97
,18,103.40,10,0.19,97.70,11,0.18,5.83,-9.09,6.47
,19,113.60,7,0.18,107.40,8,0.24,5.77,-12.50,-23.20
,20,107.00,9,0.24,102.20,9,0.22,4.70,0.00,9.66
0.2_GKD_150,41,158.40,27,1.69,153.40,32,2.05,3.26,-15.62,-17.57
,42,78.00,27,0.74,74.70,32,0.96,4.42,-15.62,-22.75
,43,56.40,31,0.47,48.20,39,0.70,17.01,-20.51,-33.26
,44,96.50,28,1.12,90.70,30,1.23,6.39,-6.67,-9.00
,45,101.30,30,0.91,99.20,32,1.13,2.12,-6.25,-19.88
,46,119.40,29,1.12,117.80,28,1.41,1.36,3.57,-20.03
,47,158.50,32,2.51,149.60,36,2.64,5.95,-11.11,-5.05
,48,95.70,28,0.96,88.70,31,1.29,7.89,-9.68,-25.82
,49,163.30,25,1.17,163.30,25,1.51,0.00,0.00,-22.43
,50,104.30,27,1.12,98.90,33,1.64,5.46,-18.18,-31.85
0.2_GKD_500,1,8.70,103,5.27,8.10,114,9.40,7.41,-9.65,-43.89
,2,8.80,91,5.92,8.30,109,10.66,6.02,-16.51,-44.50
,3,8.70,102,5.22,8.30,110,8.08,4.82,-7.27,-35.35
,4,8.70,95,5.67,8.30,111,11.75,4.82,-14.41,-51.79
,5,8.80,102,3.95,8.30,108,15.11,6.02,-5.56,-73.86
,6,8.70,100,6.04,8.30,109,11.16,4.82,-8.26,-45.91
,7,8.70,98,6.89,8.20,109,10.68,6.10,-10.09,-35.44
,8,8.90,92,4.30,8.50,104,9.24,4.71,-11.54,-53.45
,9,8.70,96,6.97,8.40,103,16.29,3.57,-6.80,-57.19
,10,8.80,94,6.86,8.30,109,9.01,6.02,-13.76,-23.93
0.2_SOM_50,11,2.00,13,0.06,1.00,20,0.07,100.00,-35.00,-19.25
,12,3.00,11,0.08,1.00,19,0.07,200.00,-42.11,16.45
,13,2.00,11,0.08,2.00,19,0.09,0.00,-42.11,-10.70
,14,2.00,15,0.06,2.00,16,0.07,0.00,-6.25,-14.39
,15,4.00,7,0.07,3.00,10,0.08,33.33,-30.00,-7.36
,16,3.00,10,0.08,2.00,15,0.06,50.00,-33.33,26.58
,17,3.00,10,0.08,2.00,15,0.07,50.00,-33.33,10.53
,18,2.00,12,0.08,2.00,17,0.08,0.00,-29.41,0.91
,19,3.00,8,0.08,3.00,12,0.08,0.00,-33.33,4.28
,20,2.00,13,0.08,1.00,21,0.06,100.00,-38.10,27.62
0.2_MDG_500,1,19.50,139,600.16,12.90,165,600.15,51.16,-15.76,0.00
,2,19.50,138,600.11,-,-,600.23,-,-,-
,3,15.60,145,603.50,-,-,600.27,-,-,-
,4,15.60,143,600.18,-,-,600.23,-,-,-
,5,15.60,146,600.15,-,-,600.23,-,-,-
,6,15.60,151,600.18,-,-,600.20,-,-,-
,7,19.60,144,600.12,-,-,600.18,-,-,-
,8,15.60,142,600.13,-,-,600.29,-,-,-
,9,19.60,134,600.12,-,-,600.19,-,-,-
,10,19.50,141,600.16,-,-,600.20,-,-,-
0.3_GKD_50,11,127.20,12,0.15,123.40,14,0.15,3.08,-14.29,-6.11
,12,154.70,15,0.15,154.70,15,0.15,0.00,0.00,4.60
,13,65.70,19,0.09,64.60,18,0.12,1.70,5.56,-24.79
,14,62.80,15,0.09,60.30,16,0.13,4.15,-6.25,-31.09
,15,127.90,15,0.14,127.10,14,0.15,0.63,7.14,-3.94
,16,53.70,15,0.09,47.90,16,0.12,12.11,-6.25,-19.73
,17,18.80,16,0.07,15.30,22,0.09,22.88,-27.27,-16.03
,18,90.60,15,0.12,90.20,14,0.14,0.44,7.14,-9.56
,19,97.80,15,0.14,96.20,15,0.13,1.66,0.00,12.03
,20,92.80,16,0.12,92.80,14,0.15,0.00,14.29,-18.12
0.3_GKD_150,41,151.40,40,0.79,147.90,42,0.76,2.37,-4.76,3.89
,42,64.70,52,0.41,59.40,56,0.41,8.92,-7.14,0.87
,43,46.90,44,0.37,45.70,52,0.40,2.63,-15.38,-8.19
,44,82.10,44,0.50,77.10,50,0.74,6.49,-12.00,-31.74
,45,91.40,45,0.45,88.80,48,0.68,2.93,-6.25,-34.45
,46,105.50,44,0.52,103.80,46,0.83,1.64,-4.35,-37.83
,47,148.60,45,0.72,145.90,48,1.11,1.85,-6.25,-35.21
,48,81.00,49,0.45,77.80,49,0.73,4.11,0.00,-39.28
,49,152.80,39,0.70,149.80,41,0.85,2.00,-4.88,-17.52
,50,91.60,41,0.50,86.40,47,0.64,6.02,-12.77,-21.49
0.3_GKD_500,1,7.70,157,2.28,7.40,172,3.92,4.05,-8.72,-41.84
,2,7.80,155,2.19,7.40,179,3.52,5.41,-13.41,-37.72
,3,7.70,156,2.94,7.30,170,3.46,5.48,-8.24,-15.21
,4,7.60,161,2.12,7.10,190,3.82,7.04,-15.26,-44.55
,5,7.80,150,3.07,7.50,177,3.42,4.00,-15.25,-10.34
,6,7.60,166,2.33,7.20,184,3.39,5.56,-9.78,-31.35
,7,7.60,158,2.69,7.20,172,4.11,5.56,-8.14,-34.62
,8,7.80,158,2.24,7.50,168,3.74,4.00,-5.95,-40.25
,9,7.70,157,2.38,7.40,173,4.35,4.05,-9.25,-45.28
,10,7.70,158,2.65,7.50,162,3.39,2.67,-2.47,-21.93
0.3_SOM_50,11,1.00,21,0.05,1.00,31,0.07,0.00,-32.26,-31.81
,12,1.00,18,0.05,1.00,25,0.09,0.00,-28.00,-38.63
,13,-,-,0.04,1.00,28,0.06,-,-,-
,14,1.00,22,0.04,1.00,27,0.07,0.00,-18.52,-42.29
,15,-,-,0.05,1.00,29,0.07,-,-,-
,16,1.00,19,0.04,1.00,32,0.05,0.00,-40.62,-24.83
,17,1.00,20,0.04,1.00,27,0.07,0.00,-25.93,-36.76
,18,-,-,0.05,1.00,30,0.08,-,-,-
,19,1.00,17,0.04,1.00,31,0.07,0.00,-45.16,-31.27
,20,1.00,20,0.05,1.00,27,0.05,0.00,-25.93,-17.86
0.3_MDG_500,1,5.80,249,3.74,-,-,600.17,-,-,-
,2,6.70,237,4.04,-,-,600.22,-,-,-
,3,6.80,230,8.69,-,-,600.26,-,-,-
,4,6.90,232,4.01,-,-,600.22,-,-,-
,5,6.80,243,4.10,-,-,601.27,-,-,-
,6,6.20,246,4.12,-,-,600.22,-,-,-
,7,6.80,242,3.80,-,-,600.23,-,-,-
,8,7.30,229,4.06,4.90,264,600.15,48.98,-13.26,-99.32
,9,7.00,246,4.33,-,-,600.23,-,-,-
,10,6.50,244,4.01,-,-,600.17,-,-,-
